id,titulo,tipo,zona,precio,habitaciones,banos,metros,descripcion,estado
1,Ático con terraza panorámica,venta,Centro,142000,3,2,85,"Precioso ático reformado en el corazón de la ciudad. Terraza de 20m² con vistas panorámicas y acabados premium. Ascensor, calefacción central y parking opcional.",disponible
2,Piso elegante en zona exclusiva,venta,Salamanca,279000,2,1,65,"Elegante piso en la exclusiva zona de Salamanca. Cocina equipada de diseño, suelos de parquet y portero físico 24h. Ideal para inversión o pareja profesional.",disponible
3,Dúplex moderno con jardín privado,venta,Chamartín,318000,4,3,122,"Espectacular dúplex con jardín privado de 50m². Cocina americana abierta, salón con dobles alturas y garaje doble. Zona muy tranquila y bien comunicada.",disponible
4,Estudio reformado y amueblado,alquiler,Centro,750,1,1,40,"Estudio completamente reformado y amueblado con gusto. Ideal para profesionales o estudiantes. Incluye WiFi, aire acondicionado y calefacción de gas. Disponible inmediatamente.",disponible
5,Piso familiar bien comunicado,venta,Vallecas,183000,3,1,90,"Magnífico piso familiar en zona con excelentes comunicaciones. Cocina reformada, armarios empotrados en todas las habitaciones y balcón con vistas al parque.",disponible
6,Apartamento con piscina y gimnasio,alquiler,Retiro,1200,2,1,70,"Lujoso apartamento en complejo residencial con piscina y gimnasio. Terraza privada de 12m², cocina de diseño alemán y plaza de garaje incluida en el precio.",disponible
7,Casa adosada en urbanización privada,venta,Las Rozas,392000,4,3,180,"Preciosa casa adosada en urbanización cerrada con seguridad 24h. Jardín de 80m², bodega, garaje doble y acceso a piscina comunitaria y pistas de pádel.",disponible
8,Piso céntrico a reformar,venta,Centro,97000,2,1,65,"Oportunidad única de inversión. Piso con estructura excelente listo para reformar a tu medida. Ubicación inmejorable en el centro histórico. Gran potencial de revalorización.",disponible
9,Loft industrial en barrio de moda,alquiler,Malasaña,920,1,1,55,"Original loft en el trendy barrio de Malasaña. Techos altos de 4m, materiales industriales y abundante luz natural. Perfecto para artistas y creativos. Amueblado.",disponible
10,Chalet independiente de lujo,venta,La Moraleja,885000,5,4,350,"Exclusivo chalet independiente en La Moraleja. Piscina privada climatizada, jardín paisajístico de 500m², garaje triple y servicio de seguridad privada 24h.",disponible
11,Piso moderno reformado,alquiler,Chamberí,1050,2,1,60,"Moderno piso completamente reformado en el codiciado barrio de Chamberí. Cocina equipada de diseño, baño con suelo radiante y pequeña terraza de 8m².",disponible
12,Bajo con jardín privado,venta,Hortaleza,208000,3,2,95,"Luminoso bajo con jardín privado de 30m² perfectamente orientado al sur. Ideal para familias con niños o mascotas. Trastero propio y plaza de garaje opcional.",disponible
